aoi_type,aoi,pos_x,pos_y,width,height
word,a,858.0,1081.695652173913,43.0,67.0
word,bear,901.0,1081.695652173913,116.0,67.0
word,in,1017.0,1081.695652173913,57.0,67.0
word,a,1074.0,1081.695652173913,43.0,67.0
word,body,1117.0,1081.695652173913,126.0,67.0
word,of,1243.0,1081.695652173913,62.0,67.0
word,water,1305.0,1081.695652173913,142.0,67.0
word,with,1447.0,1081.695652173913,111.0,67.0
word,a,1558.0,1081.695652173913,43.0,67.0
word,fish,1601.0,1081.695652173913,101.0,67.0
image,,775.0,291.0,1010.0,758.0
