aoi_type,aoi,pos_x,pos_y,width,height
word,the,691.5,1081.695652173913,88.0,67.0
word,man,779.5,1081.695652173913,114.0,67.0
word,is,893.5,1081.695652173913,55.0,67.0
word,holding,948.5,1081.695652173913,183.0,67.0
word,a,1131.5,1081.695652173913,43.0,67.0
word,package,1174.5,1081.695652173913,207.0,67.0
word,of,1381.5,1081.695652173913,62.0,67.0
word,a,1443.5,1081.695652173913,43.0,67.0
word,brand,1486.5,1081.695652173913,144.0,67.0
word,new,1630.5,1081.695652173913,108.0,67.0
word,drier.,1738.5,1081.695652173913,130.0,67.0
image,,775.0,291.0,1010.0,758.0
